doi,title,journal,year,url,status,info
10.3800/pbr.6.69,Radiolaria: achievements and unresolved issues: taxonomy and cytology,Plankton and Benthos Research,2011,https://www.jstage.jst.go.jp/article/pbr/6/2/6_2_69/_pdf,OK,31.99MB
10.1029/2008gb003221,Radiolaria: Major exporters of organic carbon to the deep ocean,Global Biogeochemical Cycles,2009,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2008GB003221,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2008GB003221
10.1038/ismej.2017.12,Biogeography and diversity of Collodaria (Radiolaria) in the global ocean,The ISME Journal,2017,https://www.nature.com/articles/ismej201712.pdf,FAILED,406 Client Error: Not Acceptable for url: https://www.nature.com/articles/ismej201712
10.1093/plankt/24.8.797,Video plankton recorder reveals high abundances of colonial Radiolaria in surface waters of the central North Pacific,Journal of Plankton Research,2002,https://academic.oup.com/plankt/article-pdf/24/8/797/9913527/240797.pdf,FAILED,403 Client Error: Forbidden for url: https://academic.oup.com/plankt/article-pdf/24/8/797/9913527/240797.pdf
10.1371/journal.pone.0023526,Radiolaria Divided into Polycystina and Spasmaria in Combined 18S and 28S rDNA Phylogeny,PLoS ONE,2011,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0023526&type=printable,OK,3.23MB
10.26879/98006,Classification and distribution of South Atlantic Recent polycystine Radiolaria,Palaeontologia Electronica,1998,https://palaeo-electronica.org/content/../1998_2/boltovskoy/text.pdf,FAILED,not pdf content-type: application/json
10.1038/s41396-018-0322-7,High contribution of Rhizaria (Radiolaria) to vertical export in the California Current Ecosystem revealed by DNA metabarcoding,The ISME Journal,2018,https://www.nature.com/articles/s41396-018-0322-7.pdf,FAILED,406 Client Error: Not Acceptable for url: https://www.nature.com/articles/s41396-018-0322-7
10.1073/pnas.94.21.11411,Phylogenetic relationships between the Acantharea and the Polycystinea: A molecular perspective on Haeckel’s Radiolaria,Proceedings of the National Academy of Sciences,1997,https://doi.org/10.1073/pnas.94.21.11411,FAILED,not pdf content-type: application/json
10.1078/1434461000164,Small-Subunit Ribosomal RNA Gene Sequences of Phaeodarea Challenge the Monophyly of Haeckel's Radiolaria,Protist,2004,https://archive-ouverte.unige.ch/unige:174959,FAILED,not pdf content-type: text/html; charset=utf-8
10.1016/j.pocean.2016.09.006,Biogeography of Radiolaria Polycystina (Protista) in the World Ocean,Progress In Oceanography,2016,http://hdl.handle.net/11336/61390,FAILED,"HTTPSConnectionPool(host='ri.conicet.gov.ar', port=443): Max retries exceeded with url: /handle/11336/61390 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1017)')))"
